Random waveform, supplied seed
Total number of intervals = 360 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676, 69604, 99682, 97693, 17381, 40069, 8841, 56576, 21599, 53003, 19831, 80340, 28765, 25572, 37071, 75819, 44359, 95960, 59630, 47930, 65545, 94038, 51806, 48712, 13115, 76569, 19372, 59331, 62597, 37702, 41975, 26100, 82500, 50756, 66696, 53364, 10413, 64876, 69079, 19447, 81182, 25265, 9699, 48659, 75126, 96559, 55885, 9039, 66378, 41225, 52371, 39873, 41176, 85357, 85391, 91890, 57558, 9972, 74636, 29773, 63494, 7201, 49507, 65454, 88537, 36982, 88964, 96479, 47883, 50650, 89242, 7374, 8507, 50676, 57069, 43520, 56720, 68155, 60444, 63997, 17315, 78596, 81548, 97254, 46135, 13379, 46993, 98274, 97056, 43434, 36406, 99121, 80708, 40517, 34168, 11754, 93304, 64697, 92626, 75618, 85805, 18930, 50153, 10377, 33112, 28777, 45709, 74458, 73596, 28031, 45754, 80138, 64350, 51870, 81106, 82064, 30534, 25449, 67525, 27070, 41133, 28009, 64235, 16387, 62388, 40199, 16884, 55763, 41925, 42341, 93577, 7657, 14232, 30107, 71078, 85372, 54930, 5750, 80137, 41449, 17301, 19930, 41776, 8596, 30870, 69978, 23908, 9848, 71598, 77156, 14083, 87786, 57205, 53142, 77998, 98830, 32447, 74382, 32271, 55273, 68152, 25419, 43187, 60608, 62150, 30864, 69566, 38183, 51253, 53027, 37133, 73413, 78811, 88317, 46504, 46147, 35073, 18693, 46834, 76427, 96007)
Average QPS expected = 51278
Timestamp start: 1622182742628
Timestamp end: 1622184543135

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      529.6   779.0    74.4   132.6   162.6   396.3   486.6   547.3   604.4   682.8   835.7  1598.5  2808.7  8805.5 31282.9  70126.8    70008
read      430.7   657.2    74.4   120.6   142.9   355.1   438.4   490.4   533.1   588.4   661.4   870.7  1878.7  7240.0 31168.1  42767.4    42943
read      439.1   617.8    74.4   120.1   142.5   353.0   439.4   492.8   536.6   593.3   671.4   954.9  2086.8  8186.0 30186.8  46809.0    46704
read      460.2   742.3    74.4   129.9   158.3   372.7   460.2   511.5   554.2   614.3   698.8   851.5  2664.9  8411.7 31404.4  76060.4    75970
read      532.1   999.5    74.4   119.6   141.8   346.9   486.3   606.2   754.3   884.9  1008.6  1174.7  3006.8 12653.2 32098.4  21905.8    21917
read      660.1   929.6    74.4   177.3   246.2   466.6   543.0   652.7   789.1   928.6  1500.5  1766.6  2770.0 11347.3 31923.5  81891.8    82027
read      470.5   775.4    74.4   136.9   168.5   390.4   478.0   532.4   576.1   632.1   710.0   859.4  2298.2 10680.9 31726.0  81635.4    81583
read      490.2  1039.1    74.4   123.6   147.5   359.0   477.4   568.9   641.6   714.0   795.5   920.3  2304.8 13503.7 35865.4  14317.2    14259
read      488.2  1326.1    80.4   134.2   168.8   331.0   418.8   471.1   507.0   546.9   601.4   721.7  3747.1 24860.6 35196.1   7800.8     7821
read      585.0  1514.4    74.4   125.6   150.9   376.0   556.8   699.7   780.7   861.2   959.6  1143.8  3803.3 16410.8 70414.7  17578.4    17727
read      749.4  1753.7    74.4   150.8   196.2   434.8   557.5   667.8   777.6  1022.5  1601.1  1983.1  5365.0 23910.0 63613.7  65394.6    65559
read      543.9  1186.5    74.4   128.5   153.9   391.9   497.9   568.3   627.0   706.4   851.7  1346.1  2459.6 19081.8 37785.1  40968.4    41133
read      619.4  1068.3    68.9   126.5   151.5   389.8   540.5   657.0   798.5  1039.9  1285.5  1666.4  3217.1 12805.9 35658.2  28698.6    28693
read      654.0  1326.5    74.4   130.4   160.3   401.1   499.8   587.3   678.2   855.3  1398.3  1895.4  4004.9 18097.3 36037.5  53082.6    53141
read      447.5   768.8    74.4   122.4   145.1   357.3   446.0   497.3   540.1   595.8   673.5   879.3  2178.9  7724.4 31978.3  54739.2    54512
read      499.3  1073.3    74.4   122.8   146.8   355.2   473.1   567.8   646.7   725.2   806.4   928.3  3096.2 12187.9 33989.4  14873.8    14835
read      668.4   900.2    74.4   380.1   412.1   515.3   567.2   629.2   803.0   915.9   995.7  1127.5  2198.6 12741.0 32055.6  98514.2    98446
read      440.4   735.0    74.4   119.5   140.3   351.5   431.9   484.7   529.8   584.9   662.9   959.4  2146.4  7887.9 31318.2  38033.8    38117
read      462.6   736.2    74.4   131.4   160.1   375.4   463.7   517.4   560.3   617.4   693.3   855.1  2600.6  9224.5 31508.4  77925.2    77994
read      494.6   624.4    74.4   120.8   142.7   351.3   463.6   556.1   645.3   895.1  1124.6  1330.7  1739.8  6083.6 25321.7  30079.4    30209
