Random waveform, supplied seed
Total number of intervals = 180 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676)
Average QPS expected = 50230
Timestamp start: 1622195190345
Timestamp end: 1622196990780

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      467.0   610.9    74.4   143.4   180.4   398.7   484.4   538.3   583.7   643.1   732.3   885.5  1717.8  7326.7 30450.6  92604.7    92540
read      442.4   652.7    74.4   122.2   144.5   352.5   446.3   502.7   548.6   611.3   699.7   930.6  2022.1  7470.3 29974.2  49514.8    49396
read      516.5   655.9    74.4   167.1   219.4   453.2   533.5   583.6   626.9   691.0   806.7   979.8  1467.6  8291.9 30956.7  97906.9    97841
read      432.6   703.5    68.9   120.4   141.8   348.6   437.5   495.2   540.7   598.4   678.6   877.9  1777.2  8602.9 31489.4  35469.6    35404
read      459.1   747.5    68.9   131.1   160.0   371.2   457.4   508.6   551.7   613.3   702.9   869.5  2521.2 10215.6 31207.5  80375.5    80451
read      478.0   701.1    74.4   141.0   176.7   401.7   494.2   547.8   592.0   650.8   738.2   912.9  1912.5  8333.1 30386.9  87197.5    87228
read      462.0   775.7    68.9   129.7   157.3   368.4   460.3   515.8   560.1   620.5   707.5   876.1  2582.3  9997.2 31604.2  75515.4    75554
read      464.5   753.8    74.4   124.9   149.1   362.9   459.5   517.9   565.5   627.7   720.3   942.3  2403.0  8779.2 31656.3  58024.2    57964
read      461.7   690.2    68.9   136.5   168.5   385.5   473.9   528.5   572.9   631.3   720.6   877.5  1960.3  8487.1 31212.2  83467.1    83546
read      449.6   682.7    74.4   122.4   145.3   354.6   449.2   505.2   550.4   611.1   696.3   922.4  2321.0  7978.0 30873.0  55605.0    55468
read      443.9   674.0    74.4   122.3   143.9   354.5   447.2   507.7   555.5   616.9   706.4  1006.3  1835.6  8128.7 30780.5  34160.5    34203
